course_number|course_subject|course_name|course_desc|course_link
691|COMP|Topics in Computer Science I| Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g., COMP 691A, COMP 691B, etc.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
791|COMP|Topics in Computer Science II| Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g. COMP 791A, COMP 791B, etc.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6231|COMP|Distributed System Design| Principles of distributed computing: scalability, transparency, concurrency, consistency, fault tolerance. Client-server interaction technologies: interprocess communication, sockets, group communication, remote procedure call, remote method invocation, object request broker, CORBA, web services. Distributed server design techniques: process replication, fault tolerance through passive replication, high availability through active replication, coordination and agreement transactions and concurrency control. Designing software fault-tolerant highly available distributed systems using process replication. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6281|COMP|Parallel Programming (*)| Migration from Von Neumann to parallel processing architectures: shared-memory and message-passing paradigms; massively parallel computers; recent trends in commodity parallel processing; clusters, multi-core, CPU-GPU based heterogeneous computing. Issues of memory consistency and load balancing. Parallel algorithms for shared-memory and message passing platforms; efficiency and scalability; issues of performance overhead. Parallel programming environments: parallel programming models; languages; software tools. Laboratory: two hours per week. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7241|COMP|Parallel Algorithms and Architectures|Prerequisite: COMP 6281 or permission of instructor. Parallel architectures; memory organization, interconnection structures, data routing techniques. Parallel algorithms; paradigms and design techniques, complexity analysis, algorithms for various computation models. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7251|COMP|Mobile Computing and Wireless Networks|Prerequisite: COMP 6461. Introduction to mobile computing and wireless networks:local (LAN), personal (PAN) and metropolitan (MAN). Mobile ad hoc networks and sensor networks. Algorithms and protocols for medium access, routing, topology control, and reliable transport. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6311|COMP|Animation for Computer Games (*)|Prerequisite: COMP 6761 or equivalent, previously or concurrently. Introduction to the algorithms, data structures, and techniques used in modelling and rendering dynamic scenes. Topics include principles of traditional animation, production pipeline, animation hardware and software, orientation representation and interpolation, modelling physical and articulated objects, forward and inverse kinematics, motion control and capture, key-frame, procedural, and behavioural animation, camera animation, scripting system, and free-form deformation. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6321|COMP|Machine Learning| Introduction to the fundamentals of machine learning. Linear models: linear and polynomial regression, overfitting, model selection, logistic regression, naive Bayes. Non-linear models: decision trees, instance-based learning, boosting, neural networks. Support vector machines and kernels. Computational learning theory. Experimental methodology, sources of error. Structured models: graphical models, deep belief networks. Unsupervised learning: k-means, mixture models, density estimation, expectation maximization, principle component analysis, eigenmaps and other dimensionality reduction methods. Learning in dynamical systems: hidden Markov models and other types of temporal/sequence models. Reinforcement learning. Survey of machine learning and its applications. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6331|COMP|Advanced Game Development (*)|Prerequisite: Permission of instructor. Introduction to advanced aspects of computer games. Game engine design. Artificial Intelligence (AI): non‑player character movement, coordinated movement, pathfinding, world representations; decision making; tactical AI, strategic AI, learning in games. Physics‑based techniques: collision detection and response. Networked gaming: multi‑player games, networking and distributed game design, mobile gaming. Improving realism: cut scenes, 3D sound. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6341|COMP|Computer Vision (*)| This course introduces basic techniques and concepts in computer vision including image formation, grouping and fitting, geometric vision, recognition, perceptual organization, and the state-of-the art software tools. Students learn fundamental algorithms and techniques, and gain experience in programming vision-based components; in particular, how to program in OpenCV, a powerful software interface used to process data captured from passive and active sensors. A project is required. Laboratory: two hours per week.Note: Students who have received credit for COMP 691 (Computer Vision) may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
